PostalCode,FSA,Latitude,Longitude,Place Name,FSA1,FSA-Province,AreaType
M9B4W6,M9B,43.65055,-79.542478,Etobicoke,M,35,Urban
M9B4W7,M9B,43.655303,-79.543531,Etobicoke,M,35,Urban
M9B4W8,M9B,43.655301,-79.54353,Etobicoke,M,35,Urban
M9B4W9,M9B,43.65729327,-79.54338274,Etobicoke,M,35,Urban
M9B4X1,M9B,43.657815,-79.543464,Etobicoke,M,35,Urban
M9B4X2,M9B,43.658798,-79.543903,Etobicoke,M,35,Urban
M9B4X3,M9B,43.659134,-79.544048,Etobicoke,M,35,Urban
M9B4X4,M9B,43.655596,-79.543556,Etobicoke,M,35,Urban
M9B4X5,M9B,43.656477,-79.544053,Etobicoke,M,35,Urban
M9B4X6,M9B,43.6578805,-79.5446655,Etobicoke,M,35,Urban
M9B4X7,M9B,43.657567,-79.544534,Etobicoke,M,35,Urban
M9B4X8,M9B,43.658551,-79.544945,Etobicoke,M,35,Urban
M9B4X9,M9B,43.658844,-79.545252,Etobicoke,M,35,Urban
M9B4Y1,M9B,43.65342,-79.54356,Etobicoke,M,35,Urban
M9B4Y2,M9B,43.65321514,-79.54350254,Etobicoke,M,35,Urban
M9B4Y3,M9B,43.6543575,-79.5442755,Etobicoke,M,35,Urban
M9B4Y4,M9B,43.654876,-79.544507,Etobicoke,M,35,Urban
M9B4Y5,M9B,43.655348,-79.544713,Etobicoke,M,35,Urban
M9B4Y6,M9B,43.65751005,-79.54567886,Etobicoke,M,35,Urban
M9B4Y7,M9B,43.658299,-79.546015,Etobicoke,M,35,Urban
M9B4Y8,M9B,43.654705,-79.544686,Etobicoke,M,35,Urban
M9B4Y9,M9B,43.656147,-79.547059,Etobicoke,M,35,Urban
M9B4Z1,M9B,43.656484,-79.547968,Etobicoke,M,35,Urban
M9B4Z2,M9B,43.658354,-79.54901,Etobicoke,M,35,Urban
M9B4Z3,M9B,43.65814156,-79.5489146,Etobicoke,M,35,Urban
M9B4Z4,M9B,43.6511545,-79.546744,Etobicoke,M,35,Urban
