age,income,avg_children,youth_ratio,pcode
42.4,47995,1.021520803,16.8,K4P
40.8,38050,1.110509209,18.1,K4M
42.7,44000,1.003571429,15.8,K4K
42.5,40435,1.040133779,15.4,K4C
36.2,44240,1.146694215,21.1,K4B
34.2,47149,1.106824926,27,K4A
33.8,42470,1.039772727,22.8,K2W
36.2,45905,1.012569832,23.3,K2V
38.6,45190,1.119677275,20.6,K2T
44.2,44501,0.94047619,12.2,K2S
40.3,36447,1.079470199,4.7,K2R
36.5,43856,1.079001019,20.9,K2P
41.3,36619,1.114591921,16.3,K2M
41,41472,1.10375,18.3,K2L
35.5,41169,1.104779044,22.2,K2K
44.9,38022,1.144044321,14.6,K2J
39.6,36456,1.121435437,17.4,K2H
42.5,31856,1.106106106,14,K2G
41.5,32253,1.135155096,13.1,K2E
42.6,28572,1.190155091,15,K2C
45.1,42686,1.08004386,15.3,K2B
39.8,32565,1.16872428,15.7,K2A
41,44037,1.083153348,14.2,K1Z
43.4,35405,1.063829787,15,K1Y
36.3,45042,1.073972603,20.4,K1X
38.7,32378,1.180266832,18.7,K1W
36.2,32842,1.185927505,20.7,K1V
40.4,43728,1.082656827,13.8,K1T
40,32302,1.1692607,8.4,K1S
34.5,52736,0.666666667,4.4,K1R
39.9,28272,1.295133438,8.4,K1P
46.3,53376,1.086309524,13.7,K1N
44,28257,1.1910299,10,K1M
42.7,28592,1.281518625,15.2,K1L
42.5,34095,1.189795918,15.5,K1K
44.1,39440,1.102181401,15,K1J
41.2,30226,1.179546775,14.3,K1H
43.2,39742,1.105736783,13.9,K1G
42.8,41161,1.119914347,15.1,K1E
40.6,33637,1.17693837,15.9,K1C
45.9,37760,1.176470588,5.9,K1B
49.4,28714,1.048984996,11.4,K1A
47.1,28816,1.075706215,13.5,K0M
45.2,29566,1.06368448,14.5,K0L
46,28935,1.094781044,14.8,K0K
45.5,32878,1.043979505,14,K0J
44.9,33812,1.067608476,14.6,K0H
44.8,30863,1.088023088,14.6,K0G
44.3,31267,1.072062478,15.6,K0E
45,30249,1.067272727,14,K0C
41.1,39335,1.057749337,17.6,K0B
