PostalCode,FSA,Latitude,Longitude,Place Name,FSA1,FSA-Province,AreaType
P0M3B0,P0M,46.618801,-81.011254,Val Therese,P,35,Rural
P0M3C0,P0M,46.478541,-80.761004,Nickel Centre,P,35,Rural
P0M3E0,P0M,46.382329,-81.304898,Whitefish,P,35,Rural
P0M3G0,P0M,48.336066,-85.174602,White River,P,35,Rural
P0M3H0,P0M,48.47538,-81.295255,Worthington,P,35,Rural
P0M3J0,P0M,46.582607,-81.194185,Chelmsford,P,35,Rural
P0M3K0,P0M,46.471775,-81.074109,Copper Cliff,P,35,Rural
P0M3L0,P0M,47.842463,-83.395379,Chapleau,P,35,Rural
P0N1A0,P0N,48.446588,-80.816071,Connaught,P,35,Rural
P0N1B0,P0N,48.475773,-81.296451,Panmour,P,35,Rural
P0N1C0,P0N,48.493493,-81.167216,Porcupine,P,35,Rural
P0N1E0,P0N,48.666986,-80.69575,Porquis Junction,P,35,Rural
P0N1G0,P0N,48.468889,-81.316884,Schumacher,P,35,Rural
P0N1H0,P0N,48.480184,-81.221054,South Porcupine,P,35,Rural
P0N1J0,P0N,48.902192,-80.874294,Tunis,P,35,Rural
P0N1K0,P0N,48.495729,-81.16695,Porcupine,P,35,Rural
P0N1L0,P0N,48.478624,-81.210521,South Porcupine,P,35,Rural
P0N1N0,P0N,48.612221,-81.289297,Timmins,P,35,Rural
P0N1P0,P0N,48.612221,-81.289298,Timmins,P,35,Rural
P0N2B0,P0N,48.612221,-81.289297,Timmins,P,35,Rural
P0N2E0,P0N,48.612221,-81.289297,Timmins,P,35,Rural
P0N2K0,P0N,46.123055,-80.497004,Monetville,P,35,Rural
P0N2N0,P0N,48.624912,-81.30009,Timmins,P,35,Rural
P0P0P0,P0P,45.855235,-82.457297,Grand Manitou Island,P,35,Rural
P0P1A0,P0P,46.018168,-82.250658,Birch Island,P,35,Rural
P0P1B0,P0P,46.189209,-82.575063,Cutler,P,35,Rural
P0P1C0,P0P,46.328191,-81.753026,Espanola,P,35,Rural
P0P1E0,P0P,45.978974,-81.920225,Evansville,P,35,Rural
P0P1G0,P0P,46.018169,-82.250658,West Bay First Nation,P,35,Rural
P0P1H0,P0P,45.908572,-82.459538,Gore Bay,P,35,Rural
P0P1J0,P0P,45.711106,-81.806552,Kagawong,P,35,Rural
P0P1K0,P0P,45.711107,-81.806552,Little Current,P,35,Rural
P0P1L0,P0P,45.933385,-81.59114,Mcgregor Bay,P,35,Rural
P0P1M0,P0P,46.285999,-81.775877,Mckerrow,P,35,Rural
P0P1M9,P0P,45.855235,-82.457297,Spring Bay,P,35,Rural
P0P1N0,P0P,45.644136,-81.886436,Manitowaning,P,35,Rural
P0P1P0,P0P,46.214089,-82.078153,Massey,P,35,Rural
P0P1R0,P0P,45.914269,-83.125196,Meldrum Bay,P,35,Rural
P0P1S0,P0P,46.195835,-82.348658,Mindemoya,P,35,Rural
P0P1S1,P0P,45.855235,-82.457297,Spring Bay,P,35,Rural
P0P1T0,P0P,45.671227,-82.268444,Providence Bay,P,35,Rural
P0P1V0,P0P,46.209167,-82.573575,Serpent River,P,35,Rural
P0P1W0,P0P,45.625418,-82.024934,Sheguiandah,P,35,Rural
P0P1X0,P0P,45.925816,-82.841431,Sheshegwaning,P,35,Rural
P0P1Y0,P0P,45.943725,-82.878122,Silver Water,P,35,Rural
P0P1Y7,P0P,45.855235,-82.457297,Spring Bay,P,35,Rural
P0P1Z0,P0P,45.56646,-82.011333,South Baymouth,P,35,Rural
P0P2A0,P0P,46.194214,-82.34425,Spanish,P,35,Rural
P0P2B0,P0P,45.742451,-82.431912,Spring Bay,P,35,Rural
P0P2C0,P0P,46.200189,-82.942162,Tehkummah,P,35,Rural
P0P2E0,P0P,46.205243,-82.303503,Walford Station,P,35,Rural
P0P2G0,P0P,46.303976,-82.056773,Webbwood,P,35,Rural
P0P2H0,P0P,46.107234,-81.721684,Whitefish Falls,P,35,Rural
P0P2J0,P0P,45.577623,-81.825463,Wikwemikong,P,35,Rural
P0P2K0,P0P,46.264232,-81.769997,Espanola,P,35,Rural
P0P2P0,P0P,45.855235,-82.457297,Spring Bay,P,35,Rural
P0P2S0,P0P,45.855235,-82.457297,Spring Bay,P,35,Rural
P0P3E0,P0P,45.855235,-82.457297,Spring Bay,P,35,Rural
P0R1A0,P0R,46.184894,-82.822821,Algoma Mills,P,35,Rural
P0R1B0,P0R,46.182449,-82.896117,Blind River,P,35,Rural
P0R1C0,P0R,46.298485,-83.793793,Bruce Mines,P,35,Rural
P0R1E0,P0R,46.357516,-84.032865,Desbarats,P,35,Rural
P0R1G0,P0R,46.089249,-83.892498,Bruce Mines,P,35,Rural
P0R1H0,P0R,46.27853,-83.222592,Iron Bridge,P,35,Rural
P0R1J0,P0R,46.475,-84.082982,Richards Landing,P,35,Rural
P0R1K0,P0R,46.212669,-82.582124,Spragge,P,35,Rural
P0R1L0,P0R,46.262083,-83.554912,Thessalon,P,35,Rural
P0R1M0,P0R,46.184578,-82.935933,Blind River,P,35,Rural
P0R1N0,P0R,46.398388,-83.318771,Iron Bridge,P,35,Rural
P0R3H0,P0R,46.409421,-83.256645,Iron Bridge,P,35,Rural
P0S1A0,P0S,46.955114,-84.500462,Batchawana Bay,P,35,Rural
P0S1B0,P0S,48.347093,-84.549438,Dubreuilville,P,35,Rural
P0S1C0,P0S,46.485584,-84.064644,Echo Bay,P,35,Rural
P0S1E0,P0S,46.750169,-84.2881,Algoma,P,35,Rural
P0S1G0,P0S,48.088443,-84.560766,Hawk Junction,P,35,Rural
P0S1H0,P0S,47.034839,-84.770398,Montreal River Harbour,P,35,Rural
P0S1J0,P0S,46.807136,-84.144475,Searchmont,P,35,Rural
P0S1K0,P0S,47.935546,-84.826059,Hawk Junction,P,35,Rural
P0S1L0,P0S,47.991079,-84.778202,Wawa,P,35,Rural
P0S1S0,P0S,47.558998,-84.570111,Hawk Junction,P,35,Rural
P0S2C0,P0S,47.4636235,-84.2779975,Michipicoten,P,35,Rural
P0T0O0,P0T,49.55515,-89.057658,,P,35,Rural
P0T1A0,P0T,50.138993,-89.056106,Armstrong Station,P,35,Rural
P0T1A1,P0T,49.55515,-89.057658,,P,35,Rural
P0T1A6,P0T,49.591114,-89.13947,,P,35,Rural
P0T1B0,P0T,50.170413,-87.376402,Aroland,P,35,Rural
P0T1C0,P0T,48.756425,-91.61362,Atikokan,P,35,Rural
P0T1E0,P0T,50.170414,-87.376402,Auden,P,35,Rural
P0T1G0,P0T,49.605037,-87.955236,Beardmore,P,35,Rural
P0T1H0,P0T,49.293435,-88.714343,Cameron Falls,P,35,Rural
P0T1J0,P0T,49.819325,-86.517099,Caramat,P,35,Rural
P0T1J8,P0T,49.55515,-89.057658,,P,35,Rural
P0T1K0,P0T,48.798031,-88.670433,Dorion,P,35,Rural
P0T1L0,P0T,51.624528,-87.834524,Eabamet Lake,P,35,Rural
P0T1M0,P0T,49.677245,-87.2046,Geraldton,P,35,Rural
P0T1M1,P0T,49.55515,-89.057658,,P,35,Rural
P0T1N0,P0T,49.629135,-90.666673,Graham,P,35,Rural
P0T1P0,P0T,49.812857,-89.136671,Gull Bay,P,35,Rural
P0T1R0,P0T,48.628559,-86.266316,Heron Bay,P,35,Rural
P0T1R2,P0T,49.55515,-89.057658,,P,35,Rural
P0T1S0,P0T,49.453358,-85.538111,Hillsport,P,35,Rural
P0T1T0,P0T,49.400845,-91.657459,Ignace,P,35,Rural
P0T1V0,P0T,49.597247,-87.775686,Jellicoe,P,35,Rural
P0T1W0,P0T,48.401961,-89.616105,Kakabeka Falls,P,35,Rural
P0T1X0,P0T,48.64245,-89.959522,Kaministiquia,P,35,Rural
P0T1Y0,P0T,48.545927,-90.495219,Kashabowie,P,35,Rural
P0T1Z0,P0T,52.211003,-87.889807,Lansdowne House,P,35,Rural
P0T2A0,P0T,49.768859,-86.792481,Longlac,P,35,Rural
P0T2B0,P0T,49.335357,-88.142068,Macdiarmid,P,35,Rural
P0T2C0,P0T,49.12661,-85.827764,Manitouwadge,P,35,Rural
P0T2E0,P0T,48.717839,-86.37784,Marathon,P,35,Rural
P0T2E3,P0T,49.555149,-89.057655,,P,35,Rural
P0T2E9,P0T,49.55515,-89.057658,,P,35,Rural
P0T2G0,P0T,48.413495,-89.505424,Oliver,P,35,Rural
P0T2G5,P0T,49.55515,-89.057658,,P,35,Rural
P0T2H0,P0T,50.196484,-86.627702,Nakina,P,35,Rural
P0T2J0,P0T,49.016941,-88.26376,Nipigon,P,35,Rural
P0T2K0,P0T,48.464373,-90.172536,Nolalu,P,35,Rural
P0T2L0,P0T,51.671238,-85.918902,Ogoki,P,35,Rural
P0T2M0,P0T,48.781323,-87.115369,Pass Lake,P,35,Rural
P0T2N0,P0T,48.851788,-89.772316,Raith,P,35,Rural
P0T2P0,P0T,48.937367,-88.263342,Red Rock,P,35,Rural
P0T2R0,P0T,51.057124,-93.746971,Rossport,P,35,Rural
P0T2S0,P0T,48.816389,-87.289654,Schreiber,P,35,Rural
P0T2T0,P0T,48.624134,-90.166787,Shebandowan,P,35,Rural
P0T2V0,P0T,50.638671,-93.238466,South Gillies,P,35,Rural
P0T2W0,P0T,48.78227,-87.101436,Terrace Bay,P,35,Rural
P0T2W2,P0T,49.55515,-89.057658,,P,35,Rural
P0T2X0,P0T,50.118871,-91.345159,Umfreville,P,35,Rural
P0T2Y0,P0T,49.054028,-90.170436,Upsala,P,35,Rural
P0T2Z0,P0T,48.355461,-89.361679,Vickers Heights,P,35,Rural
P0T3A0,P0T,52.988442,-87.354774,Webequie,P,35,Rural
